fullName,parkCode
Denali National Park & Preserve,dena
Devils Postpile National Monument,depo
Devils Tower National Monument,deto
Dinosaur National Monument,dino
Dry Tortugas National Park,drto
Dwight D. Eisenhower Memorial,ddem
Ebey's Landing National Historical Reserve,ebla
Edgar Allan Poe National Historic Site,edal
Effigy Mounds National Monument,efmo
Eisenhower National Historic Site,eise
El Camino Real de Tierra Adentro National Historic Trail,elca
El Camino Real de los Tejas National Historic Trail,elte
El Malpais National Monument,elma
El Morro National Monument,elmo
Eleanor Roosevelt National Historic Site,elro
Ellis Island Part of Statue of Liberty National Monument,elis
Emmett Till and Mamie Till-Mobley National Monument,till
Eugene O'Neill National Historic Site,euon
Everglades National Park,ever
Federal Hall National Memorial,feha
Fire Island National Seashore,fiis
First Ladies National Historic Site,fila
First State National Historical Park,frst
Flight 93 National Memorial,flni
Florissant Fossil Beds National Monument,flfo
Ford's Theatre,foth
Fort Bowie National Historic Site,fobo
Fort Davis National Historic Site,foda
Fort Donelson National Battlefield,fodo
Fort Dupont Park,fodu
Fort Foote Park,fofo
Fort Frederica National Monument,fofr
Fort Laramie National Historic Site,fola
Fort Larned National Historic Site,fols
Fort Matanzas National Monument,foma
Fort McHenry National Monument and Historic Shrine,fomc
Fort Monroe National Monument,fomr
Fort Necessity National Battlefield,fone
Fort Point National Historic Site,fopo
Fort Pulaski National Monument,fopu
Fort Raleigh National Historic Site,fora
Fort Scott National Historic Site,fosc
Fort Smith National Historic Site,fosm
Fort Stanwix National Monument,fost
Fort Sumter and Fort Moultrie National Historical Park,fosu
Fort Union National Monument,foun
Fort Union Trading Post National Historic Site,fous
Fort Vancouver National Historic Site,fova
Fort Washington Park,fowa
Fossil Butte National Monument,fobu
Franklin Delano Roosevelt Memorial,frde
Frederick Douglass National Historic Site,frdo
Frederick Law Olmsted National Historic Site,frla
Fredericksburg & Spotsylvania National Military Park,frsp
Freedom Riders National Monument,frri
Friendship Hill National Historic Site,frhi
Gates Of The Arctic National Park & Preserve,gaar
Gateway Arch National Park,jeff
Gateway National Recreation Area,gate
Gauley River National Recreation Area,gari
General Grant National Memorial,gegr
George Rogers Clark National Historical Park,gero
George Washington Birthplace National Monument,gewa
George Washington Carver National Monument,gwca
George Washington Memorial Parkway,gwmp
Gettysburg National Military Park,gett
Gila Cliff Dwellings National Monument,gicl
Glacier Bay National Park & Preserve,glba
Glacier National Park,glac
Glen Canyon National Recreation Area,glca
Glen Echo Park,glec
Gloria Dei Church National Historic Site,glde
Golden Gate National Recreation Area,goga
Golden Spike National Historical Park,gosp
Governors Island National Monument,gois
Grand Canyon National Park,grca
Grand Canyon-Parashant National Monument,para
Grand Portage National Monument,grpo
Grand Teton National Park,grte
Grant-Kohrs Ranch National Historic Site,grko
Great Basin National Park,grba
Great Egg Harbor River,greg
Great Falls Park,grfa
Great Sand Dunes National Park & Preserve,grsa
Great Smoky Mountains National Park,grsm
Green Springs,grsp
Greenbelt Park,gree
Guadalupe Mountains National Park,gumo
Guilford Courthouse National Military Park,guco
Gulf Islands National Seashore,guis
Hagerman Fossil Beds National Monument,hafo
Haleakalā National Park,hale
Hamilton Grange National Memorial,hagr
Hampton National Historic Site,hamp
Harmony Hall,haha
Harpers Ferry National Historical Park,hafe
Harriet Tubman National Historical Park,hart
Harriet Tubman Underground Railroad National Historical Park,hatu
Harry S Truman National Historic Site,hstr
Hawaiʻi Volcanoes National Park,havo
Herbert Hoover National Historic Site,heho
Historic Jamestowne Part of Colonial National Historical Park,jame
Home Of Franklin D Roosevelt National Historic Site,hofr
Homestead National Historical Park,home
Honouliuli National Historic Site,hono
Hopewell Culture National Historical Park,hocu
Hopewell Furnace National Historic Site,hofu
Horseshoe Bend National Military Park,hobe
Hot Springs National Park,hosp
Hovenweep National Monument,hove
Hubbell Trading Post National Historic Site,hutr
Ice Age Floods National Geologic Trail,iafl
Ice Age National Scenic Trail,iatr
Independence National Historical Park,inde
Indiana Dunes National Park,indu
Isle Royale National Park,isro
Iñupiat Heritage Center,inup
James A Garfield National Historic Site,jaga
Jean Lafitte National Historical Park and Preserve,jela
Jewel Cave National Monument,jeca
Jimmy Carter National Historical Park,jica
John Day Fossil Beds National Monument,joda
John Fitzgerald Kennedy National Historic Site,jofi
John Muir National Historic Site,jomu
Johnstown Flood National Memorial,jofl
Joshua Tree National Park,jotr
Juan Bautista de Anza National Historic Trail,juba
Kalaupapa National Historical Park,kala
Kaloko-Honokōhau National Historical Park,kaho
Katahdin Woods and Waters National Monument,kaww
Katmai National Park & Preserve,katm
Kenai Fjords National Park,kefj
Kenilworth Park & Aquatic Gardens,keaq
Kennesaw Mountain National Battlefield Park,kemo
Keweenaw National Historical Park,kewe
Kings Mountain National Military Park,kimo
Klondike Gold Rush - Seattle Unit National Historical Park,klse
Klondike Gold Rush National Historical Park,klgo
Knife River Indian Villages National Historic Site,knri
Kobuk Valley National Park,kova
Korean War Veterans Memorial,kowa
LBJ Memorial Grove on the Potomac,lyba
Lake Clark National Park & Preserve,lacl
Lake Mead National Recreation Area,lake
Lake Meredith National Recreation Area,lamr
Lake Roosevelt National Recreation Area,laro
Lassen Volcanic National Park,lavo
Lava Beds National Monument,labe
Lewis & Clark National Historic Trail,lecl
Lewis and Clark National Historical Park,lewi
Lincoln Boyhood National Memorial,libo
Lincoln Home National Historic Site,liho
Lincoln Memorial,linc
Little Bighorn Battlefield National Monument,libi
Little River Canyon National Preserve,liri
Little Rock Central High School National Historic Site,chsc
Longfellow House Washington's Headquarters National Historic Site,long
Lowell National Historical Park,lowe
Lower Delaware National Wild and Scenic River,lode
Lower East Side Tenement Museum National Historic Site,loea
Lyndon B Johnson National Historical Park,lyjo
Maggie L Walker National Historic Site,mawa
Maine Acadian Culture,maac
Mammoth Cave National Park,maca
Manassas National Battlefield Park,mana
Manhattan Project National Historical Park,mapr
Manzanar National Historic Site,manz
Marsh - Billings - Rockefeller National Historical Park,mabi
"Martin Luther King, Jr. Memorial",mlkm
"Martin Luther King, Jr. National Historical Park",malu
Martin Van Buren National Historic Site,mava
Mary McLeod Bethune Council House National Historic Site,mamc
Medgar and Myrlie Evers Home National Monument,memy
Mesa Verde National Park,meve
Mill Springs Battlefield National Monument,misp
Minidoka National Historic Site,miin
Minute Man National Historical Park,mima
Minuteman Missile National Historic Site,mimi
Mississippi National River & Recreation Area,miss
Missouri National Recreational River,mnrr
Mojave National Preserve,moja
Monocacy National Battlefield,mono
Montezuma Castle National Monument,moca
Moores Creek National Battlefield,mocr
Mormon Pioneer National Historic Trail,mopi
Morristown National Historical Park,morr
Mount Rainier National Park,mora
Mount Rushmore National Memorial,moru
Muir Woods National Monument,muwo
Natchez National Historical Park,natc
Natchez Trace National Scenic Trail,natt
Natchez Trace Parkway,natr
National Capital Parks-East,nace
National Mall and Memorial Parks,nama
National Park of American Samoa,npsa
National Parks of New York Harbor,npnh
Natural Bridges National Monument,nabr
Navajo National Monument,nava
New Bedford Whaling National Historical Park,nebe
New England National Scenic Trail,neen
New Jersey Pinelands National Reserve,pine
New Orleans Jazz National Historical Park,jazz
New Philadelphia National Historic Site,neph
New River Gorge National Park & Preserve,neri
Nez Perce National Historical Park,nepe
Nicodemus National Historic Site,nico
Ninety Six National Historic Site,nisi
Niobrara National Scenic River,niob
Noatak National Preserve,noat
North Cascades National Park,noca
North Country National Scenic Trail,noco
Obed Wild & Scenic River,obed
Ocmulgee Mounds National Historical Park,ocmu
Oklahoma City National Memorial,okci
Old Spanish National Historic Trail,olsp
Olympic National Park,olym
Oregon Caves National Monument & Preserve,orca
Oregon National Historic Trail,oreg
Organ Pipe Cactus National Monument,orpi
Overmountain Victory National Historic Trail,ovvi
Oxon Cove Park & Oxon Hill Farm,oxhi
Ozark National Scenic Riverways,ozar
Padre Island National Seashore,pais
Palo Alto Battlefield National Historical Park,paal
Paterson Great Falls National Historical Park,pagr
Pea Ridge National Military Park,peri
Pearl Harbor National Memorial,valr
Pecos National Historical Park,peco
Pennsylvania Avenue,paav
Perry's Victory & International Peace Memorial,pevi
Petersburg National Battlefield,pete
Petrified Forest National Park,pefo
Petroglyph National Monument,petr
Pictured Rocks National Lakeshore,piro
Pinnacles National Park,pinn
Pipe Spring National Monument,pisp
Pipestone National Monument,pipe
Piscataway Park,pisc
Point Reyes National Seashore,pore
Pony Express National Historic Trail,poex
Port Chicago Naval Magazine National Memorial,poch
Potomac Heritage National Scenic Trail,pohe
Poverty Point National Monument,popo
President William Jefferson Clinton Birthplace Home National Historic Site,wicl
Presidio of San Francisco,prsf
Prince William Forest Park,prwi
Pullman National Historical Park,pull
Puʻuhonua o Hōnaunau National Historical Park,puho
Puʻukoholā Heiau National Historic Site,puhe
Rainbow Bridge National Monument,rabr
Reconstruction Era National Historical Park,reer
Redwood National and State Parks,redw
Richmond National Battlefield Park,rich
Rio Grande Wild & Scenic River,rigr
River Raisin National Battlefield Park,rira
Rock Creek Park,rocr
Rocky Mountain National Park,romo
Roger Williams National Memorial,rowi
Roosevelt Campobello International Park,roca
Rosie the Riveter WWII Home Front National Historical Park,rori
Russell Cave National Monument,ruca
Sagamore Hill National Historic Site,sahi
Saguaro National Park,sagu
Saint Croix Island International Historic Site,sacr
Saint Croix National Scenic Riverway,sacn
Saint Paul's Church National Historic Site,sapa
Saint-Gaudens National Historical Park,saga
Salem Maritime National Historic Site,sama
Salinas Pueblo Missions National Monument,sapu
Salt River Bay National Historical Park and Ecological Preserve,sari
San Antonio Missions National Historical Park,saan
San Francisco Maritime National Historical Park,safr
San Juan Island National Historical Park,sajh
San Juan National Historic Site,saju
Sand Creek Massacre National Historic Site,sand
Santa Fe National Historic Trail,safe
Santa Monica Mountains National Recreation Area,samo
Saratoga National Historical Park,sara
Saugus Iron Works National Historic Site,sair
Scotts Bluff National Monument,scbl
Selma To Montgomery National Historic Trail,semo
Sequoia & Kings Canyon National Parks,seki
Shenandoah National Park,shen
Shiloh National Military Park,shil
Sitka National Historical Park,sitk
Sleeping Bear Dunes National Lakeshore,slbe
Springfield Armory National Historic Site,spar
Star-Spangled Banner National Historic Trail,stsp
Statue Of Liberty National Monument,stli
Ste. Geneviève National Historical Park,stge
Steamtown National Historic Site,stea
Stones River National Battlefield,stri
Stonewall National Monument,ston
Sunset Crater Volcano National Monument,sucr
Tallgrass Prairie National Preserve,tapr
Thaddeus Kosciuszko National Memorial,thko
The White House and President's Park,whho
Theodore Roosevelt Birthplace National Historic Site,thrb
Theodore Roosevelt Inaugural National Historic Site,thri
Theodore Roosevelt Island,this
Theodore Roosevelt National Park,thro
Thomas Cole National Historic Site,thco
Thomas Edison National Historical Park,edis
Thomas Jefferson Memorial,thje
Thomas Stone National Historic Site,thst
Timpanogos Cave National Monument,tica
Timucuan Ecological & Historic Preserve,timu
Tonto National Monument,tont
Touro Synagogue National Historic Site,tosy
Trail Of Tears National Historic Trail,trte
Tule Lake National Monument,tule
Tule Springs Fossil Beds National Monument,tusk
Tumacácori National Historical Park,tuma
Tupelo National Battlefield,tupe
Tuskegee Airmen National Historic Site,tuai
Tuskegee Institute National Historic Site,tuin
Tuzigoot National Monument,tuzi
Ulysses S Grant National Historic Site,ulsg
Upper Delaware Scenic & Recreational River,upde
Valles Caldera National Preserve,vall
Valley Forge National Historical Park,vafo
Vanderbilt Mansion National Historic Site,vama
Vicksburg National Military Park,vick
Vietnam Veterans Memorial,vive
Virgin Islands Coral Reef National Monument,vicr
Virgin Islands National Park,viis
Voyageurs National Park,voya
Waco Mammoth National Monument,waco
Walnut Canyon National Monument,waca
War In The Pacific National Historical Park,wapa
Washington Monument,wamo
Washington-Rochambeau Revolutionary Route National Historic Trail,waro
Washita Battlefield National Historic Site,waba
Weir Farm National Historical Park,wefa
Whiskeytown National Recreation Area,whis
White Sands National Park,whsa
Whitman Mission National Historic Site,whmi
William Howard Taft National Historic Site,wiho
Wilson's Creek National Battlefield,wicr
Wind Cave National Park,wica
Wing Luke Museum Affiliated Area,wing
Wolf Trap National Park for the Performing Arts,wotr
Women's Rights National Historical Park,wori
World War I Memorial,wwim
World War II Memorial,wwii
Wrangell - St Elias National Park & Preserve,wrst
Wright Brothers National Memorial,wrbr
Wupatki National Monument,wupa
Yellowstone National Park,yell
Yorktown Battlefield Part of Colonial National Historical Park,york
Yosemite National Park,yose
Yucca House National Monument,yuho
Yukon - Charley Rivers National Preserve,yuch
Zion National Park,zion
